seed,method,variant,r2,mse,ev,spearman,hr_frac,target
2,rl,counts_only,0.018610604617265696,6.5957551827719465,-0.004572857610559922,-0.05331028195841408,0.14208984375,pc_cons
2,rl,counts_plus_lr,0.27592433319222515,4.929832643131959,0.2652054401944055,0.4315018315018314,0.14208984375,pc_cons
2,rl,countsall_plus_lr,0.27592433319222515,4.929832643131959,0.2652054401944055,0.4315018315018314,0.14208984375,pc_cons
2,lr_only,lr_only,0.24641580532969376,4.887076674253047,0.24570202216128556,0.49587912087912084,0.0,pc_cons
2,no_dropping,counts_only,0.05511634991303138,0.5456185540380957,-0.07644224076915851,0.2186655696781109,1.0,log_pc_cons
2,no_dropping,counts_plus_lr,0.39034585037208347,0.3081040201334558,0.3900843914221911,0.6030677655677655,1.0,log_pc_cons
2,no_dropping,countsall_plus_lr,0.39034585037208347,0.3081040201334558,0.3900843914221911,0.6030677655677655,1.0,log_pc_cons
2,fixed_center,counts_only,0.04968564881805138,0.669655939594046,-0.36157511252450014,-0.22171951741550733,0.140625,log_pc_cons
2,fixed_center,counts_plus_lr,0.3820027452648742,0.33555171949314094,0.37047021441120864,0.6105311355311355,0.140625,log_pc_cons
2,fixed_center,countsall_plus_lr,0.3820027452648742,0.33555171949314094,0.37047021441120864,0.6105311355311355,0.140625,log_pc_cons
2,random,counts_only,0.0006434738990572722,0.6020652014091212,-0.14304823598910188,-0.007148229631922605,0.140625,log_pc_cons
2,random,counts_plus_lr,0.369981419849147,0.34048973357338785,0.3611877910292264,0.6120421245421245,0.140625,log_pc_cons
2,random,countsall_plus_lr,0.369981419849147,0.34048973357338785,0.3611877910292264,0.6120421245421245,0.140625,log_pc_cons
2,stochastic,counts_only,0.013005249829997267,0.5990360264640341,-0.22078755908392234,-0.17493384842476573,0.140625,log_pc_cons
2,stochastic,counts_plus_lr,0.38447924890120705,0.33276161274346716,0.3728471865998838,0.6109432234432234,0.140625,log_pc_cons
2,stochastic,countsall_plus_lr,0.38447924890120705,0.33276161274346716,0.3728471865998838,0.6109432234432234,0.140625,log_pc_cons
2,green_tiles,counts_only,0.026201955871764614,0.6685315323697819,-0.3370149090268264,-0.21125714129681486,0.140625,log_pc_cons
2,green_tiles,counts_plus_lr,0.357820664694742,0.34182445821704066,0.35163043566678376,0.596062271062271,0.140625,log_pc_cons
2,green_tiles,countsall_plus_lr,0.357820664694742,0.34182445821704066,0.35163043566678376,0.596062271062271,0.140625,log_pc_cons
2,counts_pred,counts_only,0.0037224147491131186,0.60340296948451,-0.1873586399141265,-0.09385575674384189,0.140625,log_pc_cons
2,counts_pred,counts_plus_lr,0.3787840035707393,0.3330656347554234,0.3693403961720627,0.5972527472527471,0.140625,log_pc_cons
2,counts_pred,countsall_plus_lr,0.3787840035707393,0.3330656347554234,0.3693403961720627,0.5972527472527471,0.140625,log_pc_cons
2,rl,counts_only,0.00272520182926282,0.5423804560068635,-0.1559982098902053,-0.08881886460568143,0.14208984375,log_pc_cons
2,rl,counts_plus_lr,0.3815706128511886,0.32719858711564787,0.3757090730190228,0.5936813186813186,0.14208984375,log_pc_cons
2,rl,countsall_plus_lr,0.3815706128511886,0.32719858711564787,0.3757090730190228,0.5936813186813186,0.14208984375,log_pc_cons
2,lr_only,lr_only,0.3337164628824376,0.32695967059760855,0.3323463964689577,0.5826923076923077,0.0,log_pc_cons
2,rl_matched,counts_only,0.044880091128235614,7.35217907809276,-0.1611364693481765,0.3390382226995094,0.14208984375,pc_cons
2,rl_matched,counts_plus_lr,0.21316397534365542,5.128123571270498,0.21065167677749774,0.46932234432234426,0.14208984375,pc_cons
2,rl_matched,countsall_plus_lr,0.21316397534365542,5.128123571270498,0.21065167677749774,0.46932234432234426,0.14208984375,pc_cons
2,rl_matched,counts_only,0.12703716165368328,0.4479267013305391,0.0431789523066054,0.3781024044102548,0.14208984375,log_pc_cons
2,rl_matched,counts_plus_lr,0.33045794095549247,0.33114000760067697,0.3303584571937396,0.586996336996337,0.14208984375,log_pc_cons
2,rl_matched,countsall_plus_lr,0.33045794095549247,0.33114000760067697,0.3303584571937396,0.586996336996337,0.14208984375,log_pc_cons
3,no_dropping,counts_only,0.07156408860120514,4.967688617792672,-0.4222250923749855,0.24242632925336002,1.0,pc_cons
3,no_dropping,counts_plus_lr,0.38095995840420793,2.1917338163958107,0.3573470437903895,0.4144230769230769,1.0,pc_cons
3,no_dropping,countsall_plus_lr,0.38095995840420793,2.1917338163958107,0.3573470437903895,0.4144230769230769,1.0,pc_cons
3,fixed_center,counts_only,0.027238562095244685,3.563073850096476,0.02054573699852491,-0.044485921981991174,0.109375,pc_cons
3,fixed_center,counts_plus_lr,0.4777709407966489,1.7929079478565249,0.4763480515481143,0.47999084249084245,0.109375,pc_cons
3,fixed_center,countsall_plus_lr,0.4777709407966489,1.7929079478565249,0.4763480515481143,0.47999084249084245,0.109375,pc_cons
3,random,counts_only,0.02756065971575468,3.641685552627301,-0.02319507100436402,-0.0416480255678747,0.109375,pc_cons
3,random,counts_plus_lr,0.5164127573423225,1.6730942669443654,0.51046477220435,0.482554945054945,0.109375,pc_cons
3,random,countsall_plus_lr,0.5164127573423225,1.6730942669443654,0.51046477220435,0.482554945054945,0.109375,pc_cons
3,stochastic,counts_only,0.0002446947811995976,3.8577179632448355,-0.05122926294774266,-0.01633175455846922,0.109375,pc_cons
3,stochastic,counts_plus_lr,0.45828463548019865,1.85451008694633,0.45770903963236476,0.4706043956043956,0.109375,pc_cons
3,stochastic,countsall_plus_lr,0.45828463548019865,1.85451008694633,0.45770903963236476,0.4706043956043956,0.109375,pc_cons
3,green_tiles,counts_only,1.5253043795348383e-05,3.9743681731113227,-0.1451410897622294,-0.07398501661035434,0.109375,pc_cons
3,green_tiles,counts_plus_lr,0.46768872646275544,1.819943322832113,0.46695944125433764,0.4612179487179487,0.109375,pc_cons
3,green_tiles,countsall_plus_lr,0.46768872646275544,1.819943322832113,0.46695944125433764,0.4612179487179487,0.109375,pc_cons
3,counts_pred,counts_only,2.104988621796155e-06,4.184494038809058,-0.2099109685635987,-0.10120879024455301,0.109375,pc_cons
3,counts_pred,counts_plus_lr,0.4876846168109816,1.7608091134633252,0.4841544862646687,0.45293040293040293,0.109375,pc_cons
